2017Apr09-22:46:50:578 | INFO  | ,CSV,2017-04-09 22:46:50.544,-1229151704,0.000000,47.593820,-122.381292,233.790000,0.125000,0,1,1,,0,1500,37.277285,0,351.878049,
2017Apr09-22:46:50:647 | INFO  | Boat arming canceled
2017Apr09-22:46:50:746 | INFO  | Boat arming canceled
2017Apr09-22:46:50:848 | INFO  | Boat arming canceled
2017Apr09-22:46:50:947 | INFO  | Boat arming canceled
2017Apr09-22:46:51:048 | INFO  | Boat arming canceled
2017Apr09-22:46:51:049 | INFO  | ,CSV,2017-04-09 22:46:51.046,-1229151704,0.000000,47.593820,-122.381292,249.300000,0.185000,0,1,1,,0,1500,41.902035,0,352.317073,
2017Apr09-22:46:51:149 | INFO  | Boat arming canceled
2017Apr09-22:46:51:249 | INFO  | Boat arming canceled
2017Apr09-22:46:51:350 | INFO  | Boat arming canceled
2017Apr09-22:46:51:450 | INFO  | Boat arming canceled
2017Apr09-22:46:51:550 | INFO  | Boat arming canceled
2017Apr09-22:46:51:555 | INFO  | ,CSV,2017-04-09 22:46:51.548,-1229151704,0.000000,47.593818,-122.381293,249.300000,0.224000,0,1,1,,0,1500,21.231352,0,352.317073,
2017Apr09-22:46:51:650 | INFO  | Boat arming canceled
2017Apr09-22:46:51:750 | INFO  | Boat arming canceled
2017Apr09-22:46:51:851 | INFO  | Boat arming canceled
2017Apr09-22:46:51:951 | INFO  | Boat arming canceled
2017Apr09-22:46:52:052 | INFO  | Boat arming canceled
2017Apr09-22:46:52:053 | INFO  | ,CSV,2017-04-09 22:46:52.050,-1229151704,0.000000,47.593818,-122.381293,260.350000,0.154000,0,1,1,,0,1500,34.326826,0,351.878049,
2017Apr09-22:46:52:153 | INFO  | Boat arming canceled
2017Apr09-22:46:52:252 | INFO  | Boat arming canceled
2017Apr09-22:46:52:353 | INFO  | Boat arming canceled
2017Apr09-22:46:52:454 | INFO  | Boat arming canceled
2017Apr09-22:46:52:553 | INFO  | Boat arming canceled
2017Apr09-22:46:52:554 | INFO  | ,CSV,2017-04-09 22:46:52.551,-1229151704,0.000000,47.593818,-122.381295,260.350000,0.125000,0,1,1,,0,1500,27.538346,0,351.878049,
2017Apr09-22:46:52:654 | INFO  | Boat arming canceled
2017Apr09-22:46:52:756 | INFO  | Boat arming canceled
2017Apr09-22:46:52:855 | INFO  | Boat arming canceled
2017Apr09-22:46:52:956 | INFO  | Boat arming canceled
2017Apr09-22:46:53:056 | INFO  | Boat arming canceled
2017Apr09-22:46:53:057 | INFO  | ,CSV,2017-04-09 22:46:53.054,-1229151704,0.000000,47.593818,-122.381295,260.290000,0.180000,0,1,1,,0,1500,25.040254,0,351.878049,
2017Apr09-22:46:53:156 | INFO  | Boat arming canceled
2017Apr09-22:46:53:257 | INFO  | Boat arming canceled
2017Apr09-22:46:53:362 | INFO  | Boat arming canceled
2017Apr09-22:46:53:458 | INFO  | Boat arming canceled
2017Apr09-22:46:53:558 | INFO  | Boat arming canceled
